"Time","Humidity Run 1","Light Run 1","Pressure Run 1","Pressure Run 1","Sound Run 1","Temperature Run 1",Comment
"s","%RH","lx","kPa","kPa","dBA","°C"
"0","44.1","297","98.2","98.93","40.0","24.5"
"0.96","44.0","298","98.0","98.97","40.0","24.5"
"1.92","44.0","297","98.2","98.95","40.0","24.5"
"2.88","44.0","297","98.0","98.97","40.0","24.5"
"3.84","44.0","298","98.0","98.97","41.5","24.5"
"4.8","44.0","298","98.0","98.95","67.4","24.5"
"5.76","43.9","297","98.0","98.96","65.2","24.5"
"6.72","43.9","298","98.2","98.94","59.0","24.5"
"7.68","43.9","299","98.0","98.95","51.9","24.5"
"8.64","43.9","299","98.0","98.98","67.4","24.5"
"9.6","43.9","300","98.0","98.94","40.0","24.5"
"10.56","43.9","289","98.2","98.96","55.6","24.5"
"11.52","43.9","314","98.2","98.96","66.6","24.5"
"12.48","43.9","324","98.0","98.96","40.0","24.5"
"13.44","43.9","325","98.0","98.98","55.2","24.6"
"14.4","43.9","325","98.0","98.95","40.0","25.2"
"15.36","43.9","326","98.2","98.94","40.0","25.9"
"16.32","43.9","326","98.2","98.94","40.0","26.4"
"17.28","43.9","326","98.0","98.93","40.0","26.9"
"18.24","43.9","321","98.0","98.95","45.3","27.3"
"19.2","43.9","314","98.0","98.94","40.0","27.7"
"20.16","43.9","282","98.2","98.98","52.7","28.0"
"21.12","43.9","280","98.0","98.98","81.7","28.3"
"22.08","43.9","283","98.0","98.98","40.0","28.5"
"23.04","43.9","280","98.2","98.96","40.0","28.8"
"24","43.9","253","98.2","98.94","61.2","29.0"
"24.96","43.9","271","98.2","98.94","72.6","29.2"
"25.92","43.9","291","98.0","98.97","62.1","29.3"
"26.88","43.9","299","98.6","98.94","40.0","29.5"
"27.84","43.9","294","98.6","98.97","40.0","29.6"
"28.8","43.9","287","98.6","98.98","40.0","29.8"
"29.76","43.9","286","98.6","98.96","40.0","29.9"
"30.72","43.9","286","98.6","98.95","40.0","30.0"
"31.68","43.9","287","98.8","98.96","40.0","30.0"
"32.64","43.9","287","98.8","98.97","40.0","30.1"
"33.6","43.9","287","98.8","98.96","40.0","30.2"
"34.56","43.9","286","98.8","98.94","53.6","30.3"
"35.52","43.9","290","98.8","98.95","56.7","30.3"
"36.48","43.9","293","98.8","98.97","50.5","30.4"
"37.44","43.9","306","98.8","98.94","40.0","30.4"
"38.4","43.9","311","98.8","98.94","52.6","30.5"
"39.36","43.9","313","98.8","98.94","41.1","30.5"
"40.32","43.9","313","98.8","98.96","56.4","30.5"
"41.28","43.9","313","98.8","98.96","40.0","30.5"
"42.24","43.9","314","99.0","98.95","48.0","30.6"
"43.2","43.9","314","99.0","98.94","76.5","30.6"
"44.16","43.9","315","99.0","98.97","70.2","30.6"
"45.12","43.9","315","99.0","98.94","53.6","30.6"
"46.08","43.9","315","99.0","98.95","53.9","30.6"
"47.04","43.9","315","99.0","98.96","40.0","30.6"
"48","43.9","315","99.0","98.95","74.0","30.6"
"48.96","43.9","315","99.0","98.94","55.7","30.6"
"49.92","43.9","315","99.0","98.94","71.3","30.6"
"50.88","43.9","315","99.0","98.97","40.0","30.6"
"51.84","43.8","315","99.0","98.94","71.0","30.6"
"52.8","43.9","316","99.0","98.97","65.6","30.6"
"53.76","43.9","317","99.0","98.96","60.2","30.6"
"54.72","43.8","318","99.0","98.98","69.2","30.6"
"55.68","43.9","318","99.0","98.94","57.5","30.6"
"56.64","43.8","318","99.0","98.97","40.0","30.6"
"57.6","43.8","318","99.0","98.99","63.0","30.6"
"58.56","43.8","318","99.0","98.96","40.0","30.6"
"59.52","43.8","318","98.8","98.94","40.0","30.6"
"60.48","43.8","318","99.0","98.94","69.7","30.6"
"61.44","43.8","318","99.0","98.93","40.0","30.6"
"62.4","43.8","319","99.0","98.95","64.0","30.6"
"63.36","43.8","320","99.0","98.94","45.4","30.6"
"64.32","43.8","320","99.0","98.94","40.0","30.6"
"65.28","43.8","320","99.0","98.95","63.5","30.6"
"66.24","43.8","321","99.0","98.97","40.0","30.6"
"67.2","43.8","320","99.0","98.96","67.8","30.6"
"68.16","43.8","322","99.0","98.95","58.1","30.6"
"69.12","43.8","330","99.0","98.95","61.7","30.6"
"70.08","43.8","607","99.0","98.98","63.5","30.6"
"71.04","43.8","603","99.0","98.92","40.0","30.6"
"72","43.8","556","99.0","98.94","40.0","30.6"
"72.96","43.8","556","99.0","98.95","58.2","30.6"
"73.92","43.8","554","99.0","98.94","58.1","30.6"
"74.88","43.8","573","98.8","98.93","40.0","30.6"
"75.84","43.9","629","99.0","98.95","66.2","30.6"
"76.8","43.9","113","99.0","98.96","42.4","30.6"
"77.76","43.9","24","99.0","98.95","60.7","30.6"
"78.72","43.9","12","99.0","98.92","56.9","30.6"
"79.68","43.9","10","99.0","98.94","68.2","30.6"
"80.64","44.0","9","99.0","98.95","78.0","30.6"
"81.6","44.0","10","99.0","98.94","56.7","30.6"
"82.56","44.0","10","99.0","98.93","70.5","30.6"
"83.52","44.0","10","99.0","98.95","61.6","30.6"
"84.48","44.1","10","99.0","98.96","62.4","30.6"
"85.44","44.1","264","99.0","98.93","40.0","30.6"
"86.4","44.1","601","99.0","98.96","58.0","30.5"
"87.36","44.1","611","99.0","98.94","61.5","30.5"
"88.32","44.1","651","99.0","98.96","62.4","30.5"
"89.28","44.2","229","99.2","98.95","70.8","30.5"
"90.24","44.2","152","99.2","98.94","60.5","30.5"
"91.2","44.2","144","99.0","98.93","74.9","30.5"
"92.16","44.2","144","99.0","98.97","43.8","30.5"
"93.12","44.2","144","99.0","98.96","71.8","30.5"
"94.08","44.2","144","98.4","98.96","67.9","30.5"
"95.04","44.2","145","98.6","98.94","68.4","30.5"
"96","44.2","144","98.4","98.95","76.2","30.5"
"96.96","44.2","144","98.4","98.94","46.3","30.5"
"97.92","44.2","145","98.4","98.93","40.0","30.5"
"98.88","44.2","144","98.4","98.91","40.0","30.5"
"99.84","44.2","140","98.4","98.96","40.0","30.5"
"100.8","44.2","140","98.4","98.93","40.0","30.5"
"101.76","44.2","141","98.4","98.93","78.7","30.5"
"102.72","44.2","144","98.6","98.94","61.4","30.5"
"103.68","44.2","144","98.4","98.94","76.0","30.5"
"104.64","44.2","144","98.6","98.93","40.0","30.5"
"105.6","44.2","144","98.8","98.95","46.2","30.5"
"106.56","44.2","143","98.8","98.93","51.2","30.5"
"107.52","44.2","143","98.8","98.93","40.0","30.5"
"108.48","44.2","143","98.8","98.97","60.9","30.4"
"109.44","44.2","143","98.6","98.96","78.4","30.4"
"110.4","44.2","143","98.6","98.94","68.6","30.4"
"111.36","44.2","142","98.6","98.93","54.3","30.4"
"112.32","44.2","144","98.6","98.96","59.5","30.4"
"113.28","44.1","144","98.6","98.96","74.2","30.4"
"114.24","44.1","142","98.6","98.99","48.8","30.4"
"115.2","44.1","141","98.4","98.95","71.7","30.4"
"116.16","44.1","141","98.4","98.93","63.4","30.4"
"117.12","44.1","142","98.4","98.93","50.6","30.4"
"118.08","44.1","143","98.4","98.93","78.4","30.4"
"119.04","44.1","144","98.4","98.96","70.9","30.4"
"120","44.1","144","98.4","98.93","83.4","30.4"
"120.96","44.1","144","98.4","98.97","76.9","30.4"
"121.92","44.1","143","98.4","98.98","55.2","30.4"
"122.88","44.1","142","98.4","98.96","80.6","30.4"
"123.84","44.1","142","98.4","98.95","66.7","30.4"
"124.8","44.1","142","98.4","98.96","72.6","30.4"
"125.76","44.1","142","98.4","98.95","69.5","30.3"
"126.72","44.1","142","98.4","98.95","75.4","30.3"
"127.68","44.1","143","98.4","98.97","74.9","30.3"
"128.64","44.1","142","98.4","98.97","40.0","30.3"
"129.6","44.1","142","98.4","98.97","74.2","30.3"
"130.56","44.1","142","98.4","98.95","60.5","30.3"
"131.52","44.1","142","98.4","98.95","69.2","30.3"
"132.48","44.1","142","98.4","98.96","73.0","30.3"
"133.44","44.1","142","98.4","98.96","61.0","30.3"
"134.4","44.1","142","98.6","98.95","68.7","30.3"
"135.36","44.1","142","98.6","98.94","44.5","30.3"
"136.32","44.1","142","98.6","98.94","40.0","30.2"
"137.28","44.1","142","98.4","98.93","78.5","30.2"
"138.24","44.1","143","98.6","98.95","59.0","30.2"
"139.2","44.1","144","98.6","98.96","65.1","30.2"
"140.16","44.0","144","98.6","98.94","60.1","30.2"
"141.12","44.0","144","98.6","98.93","56.8","30.2"
"142.08","44.0","143","98.6","98.96","73.4","30.2"
